,Bedroom Info,Bathroom Info,Rooms Info,Interior Info,Exterior Info,Property Info,Laundry Info,Fireplace Info,Flooring Info,Kitchen+Dining Info,Living Room Info
12147,[],[],[],['fireplace'],[],"['carpet', 'walk']","['dryer', 'washer']",[],[],[],['office']
12148,[],"['ceiling fan', 'walk']",['patio'],"['fireplace', 'fireplace', 'fireplace']",[],"['dryer', 'washer', 'carpet', 'wood']","['granite', 'island', 'pantry']",[],[],[],[]
12149,[],[],['pool'],['fireplace'],[],"['dryer', 'washer', 'carpet', 'carpet', 'wood']",[],[],[],[],[]
12150,[],"['walk', 'high ceiling', 'ceiling fan']","['patio', 'deck', 'patio']",[],[],"['fireplace', 'carpet']",[],[],[],[],"['fireplace', 'high ceiling', 'ceiling fan', 'high ceiling', 'fireplace', 'high ceiling', 'ceiling fan', 'island', 'pantry', 'bar']"
12151,[],[],['patio'],[],['carpet'],[],[],[],[],[],[]
12152,[],[],[],[],[],[],[],[],[],[],[]
12153,[],[],"['patio', 'patio', 'pool']",['fireplace'],[],"['granite', 'spa']","['granite', 'island']",['dryer'],[],[],[]
12155,[],[],[],[],[],[],[],[],[],[],[]
12156,[],[],['pool'],[],[],"['dryer', 'dryer', 'washer', 'washer', 'carpet', 'island', 'walk', 'wood', 'carpet', 'vaulted']",[],[],[],[],[]
12157,[],[],[],[],[],[],[],[],[],[],[]
12158,[],[],[],[],[],[],[],[],[],[],[]
12159,[],[],[],['fireplace'],[],[],['pantry'],[],[],[],[]
12160,[],[],['deck'],[],[],"['carpet', 'wood']",[],[],[],[],[]
12161,[],[],"['fireplace', 'patio', 'patio', 'wood', 'pool', 'pool', 'pool', 'pool']",[],[],"['vaulted', 'fireplace', 'wood', 'carpet', 'wood']",[],[],[],[],[]
12162,[],[],[],[],[],[],[],[],[],[],[]
12163,[],[],[],[],"['carpet', 'wood']",['vaulted'],[],[],[],[],[]
12164,[],[],[],[],['carpet'],['walk'],[],[],[],[],[]
12165,[],[],['pool'],[],[],[],[],[],[],[],[]
12166,[],[],[],[],[],[],[],[],[],[],[]
12167,[],[],[],[],[],[],[],[],[],[],[]
12168,[],[],[],[],[],['wood'],[],[],[],[],['island']
12169,[],[],"['pool', 'patio', 'patio']",[],[],"['fireplace', 'fireplace', 'fireplace']",[],[],[],[],"['washer', 'dryer', 'dryer']"
12170,[],[],[],['fireplace'],[],['carpet'],"['bar', 'island', 'pantry', 'walk']",[],[],[],[]
12171,[],[],['patio'],[],[],"['bar', 'fireplace']",[],[],[],[],[]
12172,[],[],[],['fireplace'],[],"['washer', 'dryer', 'dryer', 'washer', 'dryer', 'washer', 'bar', 'wood']",[],[],[],[],[]
12173,[],[],['walk'],['fireplace'],[],[],"['bar', 'pantry']",[],[],[],[]
12174,[],[],['pool'],[],[],"['fireplace', 'fireplace', 'fireplace', 'carpet']","['pantry', 'island', 'bar']",[],[],[],[]
12177,[],[],[],[],[],['granite'],[],[],[],[],[]
12178,[],[],[],[],[],"['ceiling fan', 'walk', 'fireplace']",[],[],[],[],[]
12179,[],[],[],[],[],['walk'],['bar'],[],[],[],[]
12180,[],[],[],['fireplace'],[],[],[],[],[],"['patio', 'island', 'ceiling fan', 'walk', 'walk']",['office']
12181,['quartz'],[],"['patio', 'patio', 'wood', 'patio', 'pool']",['fireplace'],[],['spa'],['quartz'],['dryer'],[],[],[]
12182,[],"['walk', 'ceiling fan']",['patio'],"['fireplace', 'fireplace']",['wood'],"['washer', 'dryer', 'island']",[],[],[],[],[]
12183,[],[],[],[],[],[],[],[],[],[],[]
12185,[],[],['pool'],[],[],"['wood', 'carpet']",[],[],[],[],"['fireplace', 'office']"
12186,[],[],"['pool', 'pool']","['fireplace', 'fireplace']",['laminate'],['walk'],[],[],[],[],[]
12187,[],[],[],[],['carpet'],"['ceiling fan', 'vaulted', 'walk']",[],[],[],[],['office']
12188,[],[],[],[],[],[],[],[],[],[],[]
12189,[],[],[],['fireplace'],[],[],[],[],[],[],[]
12191,['spa'],[],[],[],[],"['island', 'dryer', 'marble']",[],[],[],[],['office']
12192,[],[],[],[],[],"['pool', 'laminate']",[],[],[],[],[]
12193,[],[],['wood'],[],[],[],[],[],[],[],[]
12194,[],[],['patio'],[],[],[],[],[],[],[],[]
12195,['vaulted'],[],[],['fireplace'],[],['carpet'],['bar'],[],[],[],[]
12196,[],[],['patio'],[],['carpet'],[],[],[],[],[],[]
12197,[],['walk'],"['patio', 'spa', 'hot tub', 'spa', 'hot tub', 'spa', 'hot tub', 'spa', 'hot tub', 'spa']",[],[],"['bar', 'carpet', 'fireplace', 'fireplace', 'fireplace', 'fireplace', 'fireplace', 'office']","['dryer', 'washer', 'bar', 'island', 'granite']",[],[],[],[]
12198,[],[],"['deck', 'patio']",[],[],"['ceiling fan', 'carpet', 'wood', 'fireplace', 'walk', 'walk']",[],[],[],[],[]
12200,[],"['carpet', 'walk']","['patio', 'pool', 'pool']",[],[],"['carpet', 'ceiling fan', 'dryer', 'washer']",[],[],[],[],"['carpet', 'fireplace', 'carpet', 'island', 'pantry', 'carpet']"
12201,['walk'],[],['wood'],['fireplace'],[],"['washer', 'dryer']",[],[],[],"['deck', 'island', 'walk', 'walk', 'washer', 'dryer']","['office', 'deck']"
12202,[],[],[],[],[],"['bar', 'dryer']",[],[],[],[],[]
12203,[],[],[],[],[],"['fireplace', 'fireplace', 'pantry', 'wood']",[],[],[],['patio'],['wood']
12204,[],[],['wood'],[],[],"['fireplace', 'fireplace', 'fireplace', 'wood', 'carpet']",[],[],[],[],"['island', 'fireplace']"
12205,[],[],[],[],[],[],[],[],[],[],[]
12206,[],[],[],[],[],[],[],[],[],[],[]
12207,[],[],"['patio', 'patio']",[],[],"['carpet', 'wood', 'island', 'granite', 'fireplace', 'wood', 'fireplace', 'washer', 'dryer']",[],[],[],"['washer', 'dryer']",[]
12208,[],[],[],[],[],"['pantry', 'bar', 'dryer', 'washer', 'washer', 'dryer']",[],[],[],[],[]
12209,[],[],[],[],[],[],[],[],[],[],[]
12210,[],[],[],[],['carpet'],[],[],[],[],[],[]
12211,[],[],"['patio', 'deck']",[],[],"['dryer', 'washer', 'granite', 'carpet']",[],"['dryer', 'washer']",[],[],[]
12212,[],[],[],[],[],[],"['island', 'pantry', 'pantry', 'walk']",[],[],[],[]
12213,[],[],[],[],[],[],[],[],[],[],[]
12214,[],[],"['pool', 'pool', 'spa', 'spa', 'spa']",[],[],[],[],[],[],[],[]
12215,[],[],['pool'],[],[],['walk'],[],[],[],[],['island']
12216,[],[],"['pool', 'pool', 'pool', 'spa', 'spa', 'spa']",['fireplace'],[],['wood'],[],[],[],[],[]
